FORMULA	SMILES	INCHIKEY
C42H53NO15	CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)N(C)C)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2[C@H]1C(=O)OC	USZYSDMBJDPRIF-SVEJIMAYSA-N	
C3H6N2O2	[H][C@]1(N)CONC1=O	DYDCUQKUCUHJBH-REOHCLBHSA-N	
C28H31NO11	CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c2c(O)c3C(=O)c4c(OC)cccc4C(=O)c3c(O)c2[C@H]1C(O)=O	ROYGEIBVSIXOBH-QWWLYEKJSA-N	
C6H14N2O3R2	[NH3+][C@H]1C[C@@H]([NH3+])[C@H](O[*])[C@@H](O)[C@@H]1O[*]		
C45H74BNO15	CC(C)[C@@H]([NH3+])C(=O)O[C@H](C)[C@@H]1C\C=C/CC[C@H](O)C(C)(C)[C@@H]2CC[C@@H](C)[C@@]3(O[B-]45O[C@H]3C(=O)O[C@H]3C[C@@H](CCC[C@@H](O)C(C)(C)[C@@H]6CC[C@@H](C)[C@@](O4)(O6)[C@@H](O5)C(=O)O1)O[C@@H]3C)O2	OOBFYEMEQCZLJL-IIWQOWOFSA-O	
C41H70O12	CO[C@H]1[C@@H](C)[C@H](O[C@@](O)([C@H](C)C(O)=O)[C@@H]1C)[C@H](C)[C@H]1O[C@@]2(CC[C@](C)(O2)[C@H]2CC[C@](C)(O2)[C@@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@](C)(O)[C@H](C)C[C@@H]2C)C[C@H](O)[C@H]1C	WWEDNBWYGGJQOV-RIWLGXEFSA-N	
C48H84O14	CC[C@@H]1O[C@H](CC[C@@]1(C)O)[C@]1(C)C[C@@H](C)[C@@](O)(O1)[C@]1(C)CC[C@H](O1)[C@@H](O)[C@]1(O)O[C@H](C[C@@]2(O)O[C@H](CC[C@@H]2C)[C@@H](C)[C@H](O)C[C@@H]2O[C@H]([C@@H](C)C(O)=O)[C@@H](C)C[C@H]2C)[C@@H](C)C[C@H]1C	WWDHGOLBPBWCNJ-GXXSWWTOSA-N	
C36H45NO13	CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O)[C@H](C)O3)[C@H](C)O2)N(C)C)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2[C@H]1C(=O)OC	DNZPQXXGAMXDHH-FCNQEGBTSA-N	
C30H31NO10	COc1cc(O)c2c(O)c3C(=O)[C@]4(O)C(=O)C(C(N)=O)=C(O)C[C@]4(O)[C@@H](O)c3c3C[C@@]4(c1c23)C(C)=CCCC4(C)C	SUWQGLGDFGHZNH-WBWZXODPSA-N	
C61H88Cl2O32	COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@]4(O[C@H]3[C@H]2OC(=O)C(C)C)O[C@H](C)[C@](O)([C@@H]2OCO[C@@H]42)C(C)=O)[C@@H](OC)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](C)[C@H](OC)[C@H](O[C@H]2C[C@@]3(C)OC4(C[C@@H](O)[C@H](O[C@H]5C[C@@H](O)[C@H](OC(=O)c6c(C)c(Cl)c(O)c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@@H]3[C@@H](C)O2)[C@H]1O	XIRGHRXBGGPPKY-FCNCREMHSA-N	
C20H18N2O7S2	S1S[C@@]23N(C(=O)[C@]14N(C2=O)[C@]5(C(C4)=COC=C[C@@H]5OC(=O)C)[H])[C@]6(C(C3)=COC=C[C@@H]6O)[H]	HXWOWBFXYUFFKS-PSJNWGMYSA-N	
C21H37N5O14	O1[C@]([C@H](O[C@@H]2O[C@@H]([C@@H](O)[C@H](N)[C@H]2O)CO)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO)([C@@H](N)[C@H](O)[C@@H](O)[C@@H]1N3C(=O)N=C(N)C=C3)[H]	VQQSDVBOXQHCHU-SKPOXZENSA-N	
C24H33N3O7	OC1=C2N[C@@H]([C@]3(N(C=C(/C=C/C)C3)C(=O)C2=CC(=C1C)O[C@H]4[C@@H]([C@]([C@H]([C@@H](O4)C)NC)(C)O)O)[H])O	RAGFPHFDFVNLCG-INYQBOQCSA-N	
